range,mean,count,start,end
0.008808671550650904,0.14133632553325354,1.0,570,571
0.0009778798093280916,0.17114192889405633,1.0,572,573
0.00418914970691131,0.20409647124861977,1.0,574,575
0.009708000145478957,0.28256267084054,1.0,578,579
0.009653766347344384,0.37424463194154967,1.0,584,585
0.009875142345262045,0.4743607276310565,1.0,590,591
0.004399259766044605,0.6300331247908075,1.0,600,601
0.002231712910335193,0.6819459264396324,1.0,603,604
0.007597744385495098,0.7812634097430209,1.0,609,610
0.0073899241936495885,0.842526769313861,1.0,613,614
0.005821086209890788,0.11948212660724078,1.0,625,626
0.012877904539596557,0.16570693664215208,1.0,628,629
0.0011822156834052633,0.3083326487315819,1.0,636,637
0.004913536878909497,0.43247889266220846,1.0,642,643
0.0009525339879820072,0.4944444077337215,1.0,645,646
0.00017917458968319533,0.6928295771437738,1.0,656,657
1.0296563093653945,0.5399328833345508,1.0,621,675
0.010031232509686343,0.05836899101816126,1.0,679,680
0.012529254526409836,0.07753526952785095,1.0,682,684
0.006272818801208335,0.0919780222059122,1.0,685,686
0.009087835703773639,0.15816971837873467,1.0,693,694
0.015432223986657306,0.18653756832917545,1.0,696,697
0.008822423262268897,0.2070294020369062,1.0,699,701
0.00016634791232686408,0.24771031164485863,1.0,704,705
0.014105821547100716,0.26823409480749605,1.0,707,708
0.0033976692918078477,0.28973402680312343,1.0,709,710
0.017205874341254868,0.3184500559250145,1.0,713,715
0.0005914719460807238,0.3526217765126708,1.0,719,720
0.008315162191152359,0.37692681581328447,1.0,721,722
0.0016245778452088078,0.423352342302484,1.0,727,728
0.01064287434692307,0.48840971872198624,1.0,736,737
0.013700470691839994,0.5152342385878116,1.0,738,739
0.0021477253749888625,0.5422390942747906,1.0,741,742
0.0009038066079309903,0.5492552396501743,1.0,744,745
0.010957405074824789,0.5839261994413574,1.0,747,748
0.014512228630762625,0.5994499174890967,1.0,749,750
0.004996790552464603,0.6376450562025472,1.0,754,755
0.004877117567868794,0.68954096125131,1.0,761,763
0.021968182444910056,0.7242611548644645,1.0,764,765
0.012954128539582332,0.7484931196352913,1.0,768,769
0.005069874762774207,0.7836990913417397,1.0,772,773
0.015446832517208131,0.8107703409137046,1.0,776,777
0.0011002202702629083,0.8194453961262098,1.0,778,779
0.0018642286893416626,0.8626654437901169,1.0,782,783
0.01695341685726426,0.8682862191044188,1.0,784,785
0.006616483629568015,0.8858040757188366,1.0,786,787
0.0029662382538403476,0.9427833206117309,1.0,793,794
0.019697396887797702,0.9742631249181262,1.0,797,799
0.007243640983968902,1.0208166917736796,1.0,801,802
1.0261724348660028,0.535627216538166,1.0,677,806
0.005022746478991286,0.14088155869682972,1.0,815,816
0.0012420073390710384,0.18481277701708254,1.0,818,819
0.006960833781645692,0.4442208845897192,1.0,835,836
0.00026313974862257616,0.5912680252838051,1.0,844,845
0.009234646524835521,0.6911293133379448,1.0,850,851
0.006486547535225817,0.7933967443629999,1.0,857,858
0.9244400626902253,0.465312711553266,1.0,808,865
0.02431339666969408,0.051256680532939046,1.0,872,873
0.00130905109477783,0.07961715699681286,1.0,874,875
0.014203061030656355,0.10033711883230699,1.0,878,879
0.006668255058181388,0.10424196892563616,1.0,881,882
0.00586469737326592,0.14116774763321882,1.0,886,887
0.014072394668906668,0.1594817524060067,1.0,888,889
0.015426405660425246,0.16876618983687008,1.0,890,891
0.003816434952938097,0.1837358844987322,1.0,892,893
0.00687930892027247,0.19372073675811835,1.0,895,896
0.011931191167238009,0.23030367950280872,1.0,899,900
0.008211105216328507,0.2953850021352601,1.0,908,909
0.004197716670064522,0.3096924785371118,1.0,911,912
0.0002443088166540486,0.33516745466390124,1.0,913,914
0.010942168576161981,0.3766816701811312,1.0,920,921
0.009042966991198054,0.40091695522385595,1.0,923,924
0.0028583265682584624,0.4444994030834949,1.0,929,930
0.005213364232124484,0.48198163475424455,1.0,934,936
0.006787451889416707,0.5010864112513714,1.0,937,938
0.012157884146996811,0.50615770131733,1.0,939,940
0.0014373888436058913,0.519809076350422,1.0,941,942
0.0015369586365316934,0.5249869279835466,1.0,943,944
0.013735354399987965,0.5607403644298126,1.0,945,946
0.004163417979309192,0.5769220450938874,1.0,948,949
0.009948224286387752,0.5824889671497073,1.0,950,951
0.007194457887074512,0.6153987135273575,1.0,955,956
0.014898023986091524,0.6549772766266659,1.0,961,962
0.0022300051160324408,0.7044674404135925,1.0,968,969
0.003141545484035335,0.7618636745631685,1.0,976,977
0.0161664405744123,0.8030921744838229,1.0,983,985
0.01572327477099722,0.8443246740275049,1.0,986,989
0.0303902529698703,0.8629265245038027,1.0,991,992
0.001067841274613679,0.9067103606394348,1.0,996,997
0.02388649025032419,0.9238620410088209,1.0,998,999
0.006462714854281404,0.9515252417668314,1.0,1002,1003
0.007312041658015911,0.9614884723731811,1.0,1004,1005
0.010835895514532679,0.9986163512564746,1.0,1009,1010
0.2769259383845162,0.8915477988941742,1.0,975,1014
0.001527422581876492,0.14648290726286808,1.0,1025,1026
0.01437461022423292,0.33833913684343964,1.0,1036,1037
0.018861829706014965,0.4934390567582494,1.0,1045,1046
0.003097383281893129,0.5867976227808491,1.0,1051,1052
0.9164552682673385,0.4692067955873495,1.0,0,57
0.9971818127235308,0.4980573983955986,1.0,173,174
1.0874030247621844,0.5349171811947726,1.0,118,295
0.875366616695124,0.4276797650095534,1.0,356,357
0.5985847197881696,0.32635232459524627,1.0,416,503
0.771248355037628,0.3833272691501202,1.0,868,974
1.0794054165451579,0.49503309793656497,0.5,298,413
1.0626104404981396,0.5034305859600741,0.5,413,560
0.979105997135048,0.46167836427852826,0.5,560,620
0.9653244213041703,0.4685691521939671,0.5,620,1015
0.9638364278941737,0.4678251554889688,0.5,1015,1074
